name,DOB,weight,height,birth place,one day races,GC,TT,sprint,climber,PCS rank,UCI rank,All time rank,link,lonlat
Grega Bole,1985-08-13,69.0,1.77,Jesenice,1889,1197,194,2661,1243,905,924,675,rider/grega-bole,"(14.0623337, 46.4323791)"
Julien El Fares,1985-06-01,62.0,1.72,Manosque,642,1436,83,940,761,1814,1942,1814,rider/julien-el-fares,"(5.7826657, 43.8338026)"
Eddie Dunbar,1996-09-01,57.0,1.7,Banteer,296,897,131,148,601,169,223,1000000,rider/edward-irl-dunbar,"(-8.8937837, 52.1297639)"
Roland Green,1974-07-29,75.0,1.8,Victoria,35,51,214,16,26,1000000,1000000,1000000,rider/roland-green,"(144.6780052, -36.5986096)"
Ricardo Vilela,1987-12-18,59.0,1.7,Bragança,56,479,385,113,244,1421,1793,1000000,rider/ricardo-vilela,"(-6.773302360533066, 41.5084468)"
Neilson Powless,1996-09-03,67.0,1.83,Eglin,600,854,576,208,859,62,46,1000000,rider/neilson-powless,"(None, None)"
Dmitry Strakhov,1995-05-17,70.0,1.85,Vyborg,185,361,44,289,132,784,1089,1000000,rider/dmitry-strakhov,"(28.744051, 60.709217)"
Tom Sexton,1998-11-19,71.0,1.83,Invercargill,65,0,20,11,0,554,213,1000000,rider/tom-sexton,"(168.3470632, -46.4118465)"
Jempy Drucker,1986-09-03,75.0,1.82, Sandweiler,2344,634,623,3306,230,1263,729,1058,rider/jean-pierre-drucker,"(None, None)"
Eddy Finé,1997-11-20,70.0,1.8,Herbeys,73,45,0,68,35,508,657,1000000,rider/eddy-fine,"(5.793088, 45.1390486)"
Mikel Zarrabeitia,1970-05-14,63.0,1.79,Abadiño,815,3627,1564,1499,557,1000000,1000000,742,rider/mikel-zarrabeitia,"(-2.6079995, 43.1526506)"
Jimmy Janssens,1989-05-30,74.0,1.83,Herentals,399,277,137,337,126,749,816,1000000,rider/jimmy-janssens,"(4.8362595, 51.1765426)"
Stian Fredheim,2003-03-23,72.0,1.83,Kristiansand,4,20,0,35,6,981,925,1000000,rider/stian-fredheim,"(7.93185802875815, 58.0856276)"
Vincenzo Nibali,1984-11-14,65.0,1.81,Messina,4696,9812,3755,912,10857,100,90,35,rider/vincenzo-nibali,"(15.5542082, 38.1937571)"
Andrea Piccolo,2001-03-23,64.0,1.82,Magenta,43,0,0,0,9,800,668,1000000,rider/andrea-piccolo,"(3.965783, 49.0515653)"
Nariyuki Masuda,1983-10-23,61.0,1.76,Sendai,241,258,278,277,156,390,172,1000000,rider/nariyuki-masuda,"(140.8691498, 38.2677554)"
Gabriel Cullaigh,1996-04-08,78.0,1.79,Holmfirth,134,26,8,373,24,1477,1000000,1000000,rider/gabriel-cullaigh,"(-1.7870301, 53.5703517)"
Khamis Alnaqby,1986-10-09,73.0,1.69,,8,0,8,0,0,1000000,1000000,1000000,rider/khamis-alnaqby,"(None, None)"
Patryk Stosz,1994-07-15,68.0,1.78,Kluczbork,107,205,160,959,72,292,290,1000000,rider/patryk-stosz,"(18.2140089, 50.9730701)"
Sebastian Berwick,1999-12-15,59.0,1.75,Brisbane,11,139,0,14,77,665,1065,1000000,rider/sebastian-berwick,"(153.0234991, -27.4689682)"
Robert Power,1995-05-11,68.0,1.84, Perth,638,264,64,78,355,1821,1000000,1000000,rider/robert-power,"(None, None)"
Tomáš Kopecký,2000-04-08,73.0,1.91,Darlington,27,54,12,65,1,536,693,1000000,rider/tomas-kopecky,"(-1.5555812, 54.5242081)"
Huub Deelstra,2000-04-13,66.0,1.84,,2,4,2,0,4,1000000,1000000,1000000,rider/huub-deelstra,"(None, None)"
Cristian Raileanu,1993-01-24,63.0,1.76,Bălți,144,419,213,340,158,753,605,1000000,rider/cristian-raileanu,"(27.928665, 47.7623599)"
José Vicente Toribio,1985-12-22,64.0,1.75,Socuéllamos,93,451,44,311,224,1589,1803,1000000,rider/jose-vicente-toribio,"(-2.7904645, 39.2834014)"
Marco Tizza,1992-02-06,58.0,1.73,Giussano,616,189,23,318,353,396,395,1000000,rider/marco-tizza,"(9.2097294, 45.6993814)"
Guillaume Van Keirsbulck,1991-02-14,89.0,1.91,Roeselare,762,549,459,612,61,1093,1114,1794,rider/guillaume-van-keirsbulck,"(3.124765, 50.9444948)"
Dario Rapps,1994-07-02,73.0,1.84,,0,0,0,11,0,1000000,1000000,1000000,rider/dario-rapps,"(None, None)"
Donavan Grondin,2000-09-26,77.0,1.83,Saint-Denis,46,6,2,45,17,765,801,1000000,rider/donavan-grondin,"(2.3580232, 48.935773)"
Jérémy Leveau,1992-04-17,67.0,1.77,Argentan,258,56,14,280,71,729,621,1000000,rider/jeremy-leveau,"(-0.0223695, 48.7428859)"
Caleb Ewan,1994-07-11,69.0,1.67,Sydney,1897,245,148,5325,976,102,169,168,rider/caleb-ewan,"(151.2082848, -33.8698439)"
Christophe Detilloux,1974-05-03,62.0,1.7,Rocourt,550,115,3,933,8,1000000,1000000,1000000,rider/christophe-detilloux,"(5.743120829673061, 48.1075871)"
Juan Diego Alba,1997-09-11,59.0,1.73,Tuta,15,58,0,1,58,895,1255,1000000,rider/juan-diego-alba,"(-73.18705631500403, 5.67861455)"
Igor Arrieta,2002-12-08,64.0,1.82,Uharte Arakil,6,49,2,0,83,583,623,1000000,rider/igor-arrieta-lizarraga,"(-1.9687562, 42.9199485)"
Gert Jõeäär,1987-07-09,84.0,1.91,Tallinn,192,355,623,310,0,1000000,1000000,1000000,rider/gert-joeaar,"(24.7453688, 59.4372155)"
Santos González,1973-12-17,70.0,1.79,Crevillent,86,947,2672,286,568,1000000,1000000,2036,rider/santos-gonzalez,"(-0.8111359, 38.2493099)"
Dion Smith,1993-03-03,67.0,1.79,Taupaki,921,709,70,1014,967,295,417,1000000,rider/dion-smith,"(174.5504354, -36.8209613)"
André Greipel,1982-07-16,80.0,1.84,Rostock,4646,1927,530,14391,1650,287,915,32,rider/andre-greipel,"(12.1286127, 54.0924445)"
Walter Bénéteau,1972-07-28,67.0,1.75,Les Essarts,761,320,51,798,288,1000000,1000000,1000000,rider/walter-beneteau,"(0.9921207721113022, 48.880997)"
Maurizio Fondriest,1965-01-15,70.0,1.82,Cles,8611,2507,2622,6441,1646,1000000,1000000,76,rider/maurizio-fondriest,"(11.0332447, 46.3652616)"
Emanuel Piaskowy,1991-03-02,60.0,1.72,Nowy Sącz,27,116,20,177,35,1000000,1000000,1000000,rider/emanuel-piaskowy,"(20.714936589668028, 49.61030395)"
Muhammad Danieal Haikal Eddy Suhaidee,1998-04-13,63.0,1.72,,0,0,4,56,0,1000000,1000000,1000000,rider/muhammad-danieal-haikal-eddy-suhaidee,"(None, None)"
Ivan Centrone,1995-09-17,64.0,1.8,Leudelange,25,11,83,46,15,1000000,1771,1000000,rider/ivan-centrone,"(6.0673211, 49.5660842)"
Diego Andrés Camargo,1998-05-03,65.0,1.76,Tuta,2,79,63,8,21,767,1275,1000000,rider/diego-andres-camargo,"(-73.18705631500403, 5.67861455)"
Dario Pieri,1975-09-01,78.0,1.74,Florence,998,52,33,1046,104,1000000,1000000,1000000,rider/dario-pieri,"(11.2555757, 43.7698712)"
Juan Antonio López-Cózar,1994-08-20,70.0,1.75,Loja,94,16,0,18,36,1401,2203,1000000,rider/juan-antonio-lopez-cozar-jaimez,"(-4.1496374, 37.1664839)"
Robert Jägeler,1996-04-18,71.0,1.77,,7,4,0,104,0,1933,2127,1000000,rider/robert-jageler,"(None, None)"
Reto Bergmann,1976-04-01,68.0,1.83,Meikirch,28,87,2,21,31,1000000,1000000,1000000,rider/reto-bergmann,"(7.3634614, 47.0088655)"
Filippo Ganna,1996-07-25,83.0,1.93,Verbania,158,273,3388,75,220,72,72,668,rider/filippo-ganna,"(8.5580062, 45.9344082)"
Gian Mario Ortenzi,1976-06-24,78.0,1.85,Recanati,162,141,116,113,18,1000000,1000000,1000000,rider/gian-mario-ortenzi,"(13.5486016, 43.4035085)"
Iban Mayo,1977-08-19,65.0,1.76,Igorre,678,2365,1173,812,1742,1000000,1000000,422,rider/iban-mayo,"(-2.7783435, 43.1642445)"
Marco Frigo,2000-03-02,65.0,1.88,Bassano del Grappa ,20,17,6,28,28,992,908,1000000,rider/marco-frigo,"(None, None)"
Darragh O'Mahony,1997-12-30,69.0,1.82,Cork,12,5,0,28,0,1000000,1000000,1000000,rider/darragh-o-mahony,"(-8.4654674, 51.897077)"
Nik Mohamad Azman Zulkifli,1990-05-07,65.0,1.8,,10,33,70,85,16,1000000,1000000,1000000,rider/azman-zulkifli-mohd,"(None, None)"
Muhammad Nur Aiman Mohd Zariff,1997-10-01,63.0,1.73,Marang,12,88,30,108,23,1370,1578,1000000,rider/muhammad-nur-aiman-mohd-zariff,"(103.1666667, 5.1666667)"
Artur Ershov,1990-03-07,70.0,1.85,Verkhnyaya Pyshma,42,126,118,473,6,1000000,2709,1000000,rider/artur-ershov,"(60.5738926, 56.9724682)"
Victor Manakov,1992-06-09,77.0,1.8,Saint Petersburg,67,41,168,202,14,1000000,3198,1000000,rider/victor-manakov,"(30.38061935702552, 59.917857350000006)"
Niki Terpstra,1984-05-18,75.0,1.9,Beverwijk,4621,2397,1741,2275,870,610,855,197,rider/niki-terpstra,"(4.6603502, 52.4876371)"
François Bidard,1992-03-19,65.0,1.8,Lonlay-l'Abbaye,90,284,6,33,322,1797,2737,1000000,rider/francois-bidard,"(-0.7100244, 48.6458961)"
Brian Holm Sørensen,1962-10-02,77.0,1.86,Copenhagen,2013,785,382,1956,69,1000000,1000000,1664,rider/brian-holm-sorensen,"(12.5700724, 55.6867243)"
Edoardo Zardini,1989-11-02,62.0,1.73,Peschiera del Garda,319,568,48,115,488,519,897,1000000,rider/edoardo-zardini,"(10.6920171, 45.4389454)"
Mathieu van der Poel,1995-01-19,75.0,1.84,Kapellen,3929,804,714,1757,1828,9,7,183,rider/mathieu-van-der-poel,"(4.4295354, 51.3149455)"
Serkan Balkan,1994-03-28,64.0,1.74,Trabzon,12,47,25,58,31,1000000,3201,1000000,rider/serkan-balkan,"(39.7257547, 41.0062202)"
Cameron Wurf,1983-08-03,71.0,1.71,Sandy Bay,49,559,306,129,48,1802,1000000,1000000,rider/cameron-wurf,"(-5.340298690428538, 36.1307844)"
Gonçalo Carvalho,1997-12-03,58.0,1.71,Coimbra,0,14,0,19,16,1000000,2457,1000000,rider/goncalo-carvalho,"(-8.4294632, 40.2111931)"
Eli Iserbyt,1997-10-22,55.0,1.65,Bavikhove,0,63,62,16,6,1392,2372,1000000,rider/eli-iserbyt,"(3.3113418, 50.8754034)"
Ide Schelling,1998-02-06,66.0,1.82,The Hague,328,250,110,69,250,382,258,1000000,rider/ide-schelling,"(4.3113461, 52.0799838)"
Sylvain Moniquet,1998-01-14,61.0,1.75,Namur,90,80,3,12,178,375,584,1000000,rider/sylvain-moniquet,"(4.8661892, 50.4665284)"
Adam Roberge,1997-03-27,72.0,1.92,Montreal,10,17,209,7,23,1000000,1706,1000000,rider/adam-roberge,"(-73.5698065, 45.5031824)"
Alex Howes,1988-01-01,61.0,1.8,Denver,409,482,12,422,312,1810,2684,1000000,rider/alex-howes,"(-104.9848623, 39.7392364)"
Dominik Röber,1999-10-12,68.0,1.87,Zwickau,1,4,0,12,5,1961,2791,1000000,rider/dominik-rober,"(12.4939267, 50.7185043)"
Mateusz Grabis,1994-08-24,75.0,1.85,Będzin,46,20,0,145,17,1319,1246,1000000,rider/mateusz-grabis,"(19.117425848419487, 50.3359753)"
Coen Vermeltfoort,1988-04-11,85.0,1.9,Heeswijk,1285,84,208,2444,19,485,402,1000000,rider/coen-vermeltfoort,"(4.9656106, 52.0517706)"
Maciej Paterski,1986-09-12,73.0,1.86,Krotoszyn,1064,1044,268,1668,786,511,377,1388,rider/maciej-paterski,"(17.4374158, 51.695926)"
Max Walscheid,1993-06-13,90.0,1.99,Leuven,1115,221,698,2146,114,92,82,1228,rider/max-walscheid,"(4.7011675, 50.879202)"
Benjamin Dyball,1989-04-20,63.0,1.83,Blacktown,133,795,529,102,316,903,827,1688,rider/benjamin-dyball,"(150.86483553289474, -33.7401885)"
Sergey Shilov,1988-02-06,67.0,1.73,Novyy,463,130,410,658,160,1000000,1000000,1000000,rider/sergey-shilov,"(95.5348869604712, 76.5691648)"
Piet Allegaert,1995-01-20,70.0,1.81,Moorslede,936,96,140,758,167,108,101,1000000,rider/piet-allegaert,"(3.0732110598481244, 50.89008225)"
Andrii Ponomar,2002-09-05,65.0,1.83,Chernihiv,20,43,0,0,8,900,590,1000000,rider/andrii-ponomar,"(31.7417235, 51.272593)"
Martin Messner,2000-01-09,50.0,1.71,Judenburg,0,8,25,2,6,1523,1088,1000000,rider/martin-messner,"(14.6601079, 47.1694082)"
Dimitri De Fauw,1981-07-13,77.0,1.82,Ghent,97,19,0,301,0,1000000,1000000,1000000,rider/dimitri-defauw,"(3.7250121, 51.0538286)"
Nikolay Cherkasov,1996-09-26,68.0,1.82,Omsk,120,174,15,54,146,1000000,2257,1000000,rider/nikolay-cherkasov,"(73.371529, 54.991375)"
Gino Mäder,1997-01-04,61.0,1.81,Flawil,98,764,236,94,760,79,67,1000000,rider/gino-mader,"(9.1861489, 47.414613)"
Guillaume Thevenot,1993-09-13,69.0,1.89,La Garenne-Colombes,24,47,0,41,5,1000000,1000000,1000000,rider/guillaume-thevenot,"(2.2465748, 48.9069349)"
Simone Petilli,1993-05-04,65.0,1.78, Bellano,420,397,39,145,414,416,453,1000000,rider/simone-petilli,"(None, None)"
Bert Dietz,1969-02-09,69.0,1.74,Leipzig,355,355,26,701,17,1000000,1000000,1000000,rider/bert-dietz,"(12.3747329, 51.3406321)"
Julien Bernard,1992-03-17,60.0,1.76,Nevers,96,588,37,55,357,343,447,1000000,rider/julien-bernard,"(3.1577203, 46.9876601)"
Hurgali Turebekov,1996-04-09,68.0,1.73,,0,6,0,7,0,1000000,1000000,1000000,rider/hurgali-turebekov,"(None, None)"
Danny van Poppel,1993-07-26,82.0,1.84,Moergestel,2592,377,343,4284,582,32,29,599,rider/danny-van-poppel,"(5.1805818, 51.5448378)"
Vedad Karić,1988-03-06,78.0,1.82,Zenica,57,0,60,20,2,901,617,1000000,rider/vedad-karic,"(17.9093012, 44.199828)"
Cristián Rodríguez,1995-03-03,56.0,1.78,El Ejido,110,556,36,18,338,228,226,1000000,rider/cristian-rodriguez,"(-2.8168228, 36.7753425)"
Endrio Leoni,1968-08-22,74.0,1.75,Dolo,706,64,24,4612,135,1000000,1000000,559,rider/endrio-leoni,"(-2.3322827585741326, 48.38102515)"
Stephen Williams,1996-06-09,59.0,1.83,Aberystwyth,65,167,5,124,142,243,349,1000000,rider/stephen-williams,"(-4.0816846, 52.4143113)"
Jesús Zarate,1974-09-05,70.0,1.74,,57,23,60,172,12,1000000,1000000,1000000,rider/jesus-zarate,"(None, None)"
Gabriel Francisco Rojas,2000-02-09,59.0,1.7,,36,0,27,37,6,1303,1044,1000000,rider/gabriel-francisco-rojas,"(None, None)"
Til Schuster,1996-10-12,85.0,2.03,,4,0,0,3,0,1000000,1000000,1000000,rider/til-schuster,"(None, None)"
Ben Swift,1987-11-05,69.0,1.79,Rotherham,1808,862,87,2984,1333,407,371,766,rider/ben-swift,"(-1.355187, 53.4310417)"
Bryan Coquard,1992-04-25,59.0,1.71,Saint-Nazaire,2438,1017,289,5354,945,140,173,355,rider/bryan-coquard,"(-2.2138905, 47.2733517)"
Emmanuel Morin,1995-03-13,72.0,1.78,Machecoul,184,70,0,256,36,476,428,1000000,rider/emmanuel-morin,"(-1.848034198853211, 46.9919694)"
Lennard Hofstede,1994-12-29,73.0,1.86,Poeldijk,80,285,66,113,77,1027,1000000,1000000,rider/lennard-hofstede,"(4.218242, 52.0225167)"
Max van Heeswijk,1973-03-02,73.0,1.8,Hoensbroek,2195,473,248,4230,200,1000000,1000000,510,rider/max-van-heeswijk,"(5.9293862, 50.9239397)"
Uwe Peschel,1968-11-04,72.0,1.79,Berlin,40,584,3613,363,18,1000000,1000000,783,rider/uwe-peschel,"(13.3888599, 52.5170365)"
Daniel Mestre,1986-04-01,65.0,1.75,Almodôvar,26,58,323,439,146,2039,1000000,1000000,rider/daniel-mestre,"(-8.070988093407168, 37.47508055)"
Tobias Nolde,1998-12-09,80.0,1.84,Winsen,10,32,9,56,5,810,671,1000000,rider/tobias-nolde,"(10.01568, 53.8320018)"
Damien Nazon,1974-06-26,68.0,1.78,Épinal,596,340,5,2780,501,1000000,1000000,1373,rider/damien-nazon,"(6.491009924879533, 48.1637433)"
Sebastián Henao,1993-08-05,57.0,1.71,Rionegro,146,686,151,76,393,1030,1387,1000000,rider/sebastian-henao,"(-75.3741691, 6.1536166)"
Savva Novikov,1999-07-27,65.0,1.77,Tula,12,237,21,131,56,1000000,2694,1000000,rider/savva-novikov,"(1.7706797, 45.2678347)"
Steve Hegg,1963-12-03,70.0,1.78,Dana Point,15,84,331,63,0,1000000,1000000,1000000,rider/steve-hegg,"(-117.6981075, 33.4669721)"
Zenon Jaskuła,1962-06-04,76.0,1.83,Śrem,681,2161,2373,916,456,1000000,1000000,966,rider/zenon-jaskula,"(15.925648660544672, 51.6516697)"
Connor Swift,1995-10-30,75.0,1.9,Thorne,547,410,131,284,241,115,84,1000000,rider/connor-swift,"(-76.426058501174, 45.7457775)"
Javier Pascual Llorente,1971-03-30,68.0,1.7,Alfaro,204,755,422,371,212,1000000,1000000,1000000,rider/javier-pascual-llorente,"(-1.7492454, 42.1785741)"
Szymon Tracz,1998-11-12,74.0,1.89,Skała,1,53,93,26,19,1000000,3138,1000000,rider/szymon-tracz,"(19.853537, 50.2303769)"
Matis Louvel,1999-07-19,73.0,1.87,Mont Saint Aignan,479,55,65,82,159,133,99,1000000,rider/matis-louvel,"(1.0813, 49.4679)"
Leon Rohde,1995-05-10,75.0,1.86,Hamburg,16,18,36,129,0,1000000,1000000,1000000,rider/leon-rohde,"(10.000654, 53.550341)"
Patrick Konrad,1991-10-13,65.0,1.8,Mödling,1018,2112,437,262,3018,123,129,1790,rider/patrick-konrad,"(16.2833526, 48.0855922)"
Juan Ayuso,2002-09-16,65.0,1.83,Barcelona,276,299,130,60,401,65,56,1000000,rider/juan-ayuso-pesquera,"(2.1774322, 41.3828939)"
Niklas Eg,1995-01-06,60.0,1.83,Kibæk,65,516,47,37,326,622,883,1000000,rider/niklas-eg,"(8.8583992, 56.0349566)"
Antonio Tiberi,2001-06-24,62.0,1.82,Frosinone,60,93,146,2,162,434,508,1000000,rider/antonio-tiberi,"(13.575754531597315, 41.6282513)"
Gilles Maignan,1968-07-30,63.0,1.66,Argenteuil,226,363,1213,415,0,1000000,1000000,1000000,rider/gilles-maignan,"(2.2481797, 48.9479069)"
Léo Vincent,1995-11-06,62.0,1.77,Vesoul,25,120,51,26,60,1000000,1000000,1000000,rider/leo-vincent,"(6.1544694, 47.6197395)"
Mario Gamper,1999-08-03,68.0,1.72,,35,6,2,7,2,1000000,1000000,1000000,rider/mario-gamper,"(None, None)"
Louis Blouwe,1999-11-19,71.0,1.82,Izegem,12,2,2,16,10,1400,1692,1000000,rider/louis-blouwe,"(3.2090654210556964, 50.91382225)"
Andrew Tennant,1987-03-09,82.0,1.9,Wolverhampton,15,21,50,197,8,1000000,1000000,1000000,rider/andrew-tennant,"(-2.127567, 52.5847651)"
Dominik Roels,1987-01-21,75.0,1.85,Köln,28,112,129,68,71,1000000,1000000,1000000,rider/dominik-roels,"(6.959974, 50.938361)"
Kévin Vauquelin,2001-04-26,69.0,1.76,Bayeux,58,102,53,42,106,264,232,1000000,rider/kevin-vauquelin,"(-0.7024738, 49.2764624)"
Miroslav Liptak,1968-10-07,68.0,1.75,Trenčín,25,27,88,70,0,1000000,1000000,1000000,rider/miroslav-liptak,"(18.0393715, 48.8923583)"
Manabu Ishibashi,1992-11-30,68.0,1.77,Sannohe,24,20,30,38,22,1000000,1000000,1000000,rider/manabu-ishibashi,"(141.2587719, 40.3782546)"
Massimo Cigana,1974-05-05,74.0,1.82,Mestre,140,82,135,74,44,1000000,1000000,1000000,rider/massimo-cigana,"(12.2418053, 45.4943063)"
Karol Wawrzyniak,2000-04-19,65.0,1.73,,7,0,0,21,0,1000000,1000000,1000000,rider/karol-wawrzyniak,"(None, None)"
Gianni Bugno,1964-02-14,68.0,1.77,Brugg,7313,4137,3895,5051,2268,1000000,1000000,50,rider/gianni-bugno,"(8.2085662, 47.4824633)"
Bart Voskamp,1968-06-06,75.0,1.9,Wageningen,931,1592,1648,1583,62,1000000,1000000,967,rider/bart-voskamp,"(5.668298061827958, 51.9685817)"
Lucas Eriksson,1996-04-10,64.0,1.79,Gånghester,179,233,5,131,124,404,352,1000000,rider/lucas-eriksson,"(13.0235957, 57.701552)"
Michael Van Staeyen,1988-08-13,62.0,1.67,Ekeren,1848,85,6,3896,8,1138,1654,1850,rider/michael-van-staeyen,"(4.4209857, 51.2781955)"
Unai Etxebarria,1972-11-21,68.0,1.81,Caracas,943,568,360,717,583,1000000,1000000,1534,rider/unai-etxebarria-arana,"(-66.9146017, 10.506098)"
Milan Menten,1996-10-31,68.0,1.74,Bilzen,556,149,17,740,163,211,174,1000000,rider/milan-menten,"(5.5181089, 50.8707787)"
Unai Osa,1975-06-12,65.0,1.78,Zestoa,283,1518,253,426,1306,1000000,1000000,1000000,rider/unai-osa,"(-2.2585203, 43.2401376)"
Marcin Karczyński,1978-07-06,66.0,1.78,Sanok,0,3,0,50,0,1000000,1000000,1000000,rider/marcin-karczynski,"(22.211701678304745, 49.5567406)"
Hernandes Quadri,1967-12-08,67.0,1.75,Santo Antônio de Platina,16,4,4,28,0,1000000,1000000,1000000,rider/hernandes-quadri,"(-49.9616306, -23.7819083)"
Glenn Magnusson,1969-07-05,70.0,1.79,Oskarshamn,336,332,399,2106,0,1000000,1000000,1662,rider/glenn-magnusson,"(16.4443478, 57.2632811)"
Gleb Brussenskiy,2000-04-18,64.0,1.78,Kokshetau,75,1,0,158,23,582,484,1000000,rider/gleb-brussenskiy,"(69.3814676, 53.2852054)"
Pedro Paulinho,1990-05-27,75.0,1.82,Alcabideche,4,3,15,80,4,2293,1000000,1000000,rider/pedro-paulinho,"(-9.4090463, 38.7338374)"
Martin Salmon,1997-10-29,59.0,1.79,Germersheim,5,5,0,3,0,1393,2343,1000000,rider/martin-salmon,"(8.36659, 49.2222749)"
Jeremy Frehen,1999-07-13,66.0,1.78,,2,50,0,35,0,1000000,1000000,1000000,rider/jeremy-frehen,"(None, None)"
Sam Bennett,1990-10-16,73.0,1.78,Wervik,2410,316,25,5700,929,150,148,179,rider/sam-bennett,"(3.0439698, 50.7782244)"
Christophe Laporte,1992-12-11,76.0,1.91,La Seyne-sur-Mer,2120,580,775,2250,704,44,34,644,rider/christophe-laporte,"(5.8788948, 43.1007714)"
Johan Bruyneel,1964-08-23,71.0,1.82,Izegem,1144,2228,2467,1886,497,1000000,1000000,581,rider/johan-bruyneel,"(3.2090654210556964, 50.91382225)"
Brenton Jones,1991-12-12,81.0,1.82,Jindivick,127,53,222,1668,52,1000000,3063,1000000,rider/brenton-jones,"(145.8994994, -38.0273007)"
Kamil Gradek,1990-09-17,81.0,1.94,Koziegłowy,186,488,621,444,13,1254,1000000,1000000,rider/kamil-gradek,"(19.1615203, 50.5978707)"
Eduardo Sepúlveda,1991-06-13,59.0,1.73,Rawson,353,1169,392,128,706,260,235,1000000,rider/eduardo-sepulveda,"(-65.1056655, -43.2991348)"
Niels Verdijck,1993-08-09,79.0,1.91,Lier,0,0,0,20,0,1000000,1000000,1000000,rider/niels-verdijck,"(4.5696516, 51.131069)"
Rune Høydal,1969-12-10,72.0,1.8,Drammen,0,4,0,20,0,1000000,1000000,1000000,rider/rune-hoydal,"(10.175641950012762, 59.6964936)"
Mikel Aristi,1993-05-28,72.0,1.8,Bergara,169,53,68,432,118,1593,2369,1000000,rider/mikel-aristi,"(-2.4133452, 43.1175442)"
Dorian Godon,1996-05-25,73.0,1.9,Vitry-sur-Seine,871,205,145,278,662,135,119,1000000,rider/dorian-godon,"(2.39164, 48.7876)"
Romain Combaud,1991-04-01,63.0,1.75,Saint-Doulchard,386,382,0,323,206,597,1541,1000000,rider/romain-combaud,"(2.359048438705784, 47.1116633)"
Fausto Masnada,1993-11-06,65.0,1.82,Bergamo,563,1468,154,88,1334,121,74,1399,rider/fausto-masnada,"(9.754219200862249, 45.7566557)"
Jan Boven,1972-02-28,65.0,1.74,Delfzijl,537,255,53,414,7,1000000,1000000,1000000,rider/jan-boven,"(6.9135144, 53.3325644)"
Juan González,1972-09-21,62.0,1.68,,0,14,0,0,0,1000000,1000000,1000000,rider/juan-gonzalez3,"(None, None)"
German Nicolás Tivani,1995-10-31,67.0,1.76,Pocito,176,209,66,653,41,469,375,1000000,rider/german-nicolas-tivani-perez,"(-68.58505186455457, -31.7386555)"
Alejandro Osorio,1998-05-28,62.0,1.81,El Carmen de Viboral,7,88,6,8,128,1868,2475,1000000,rider/alejandro-osorio-carbajal,"(-75.26078014254009, 5.98195145)"
Ara Monadjem,1968-12-19,79.0,1.78,,4,0,0,0,0,1951,1772,1000000,rider/ara-monadjem,"(None, None)"
Nic Dlamini,1995-08-12,66.0,1.77,Cape Town,39,58,27,90,18,1000000,3273,1000000,rider/nickolas-dlamini,"(18.417396, -33.928992)"
Paweł Franczak,1991-10-07,63.0,1.78,Nysa,283,212,50,1182,14,1000000,2511,1000000,rider/pawel-franczak,"(17.3324733, 50.4738029)"
Darwin Atapuma,1988-01-15,59.0,1.68,Túquerres,179,1414,28,175,1579,1000000,1000000,1000000,rider/darwin-atapuma,"(-77.6188242, 1.0877024)"
Mathias Flückiger,1988-09-27,64.0,1.72,Ochlenberg,0,15,0,6,1,1791,1909,1000000,rider/mathias-fluckiger,"(7.7357217, 47.1501818)"
Maurice Ballerstedt,2001-01-16,76.0,1.85,Berlin,33,28,10,31,2,617,602,1000000,rider/maurice-ballerstedt,"(13.3888599, 52.5170365)"
James Fouché,1998-03-28,69.0,1.84,Christchurch,127,42,37,72,14,393,163,1000000,rider/james-fouche,"(172.6366455, -43.530955)"
Ethan Hayter,1998-09-18,69.0,1.78,London,495,681,647,446,960,36,52,1219,rider/ethan-hayter,"(-0.1276474, 51.5073219)"
Michael Kukrle,1994-11-17,73.0,1.85,Šternberk,79,229,274,188,56,400,267,1000000,rider/michael-kukrle,"(17.2988474, 49.730712)"
Jefferson Alveiro Cepeda,1996-03-02,61.0,1.7,Quito,140,151,74,194,109,640,884,1000000,rider/jefferson-cepeda-hernandez,"(-78.5123274, -0.2201641)"
Periklis Ilias,1986-06-26,69.0,1.83,Athens,48,27,44,58,42,1638,2283,1000000,rider/periklis-ilias,"(23.7283052, 37.9839412)"
Martijn Budding,1995-08-31,74.0,1.87,Veenendaal,311,93,0,422,36,1745,1732,1000000,rider/martijn-budding,"(5.551800233162295, 52.02320415)"
Yakob Debesay,1999-06-28,63.0,1.77,Asmara,7,81,8,22,60,1000000,1000000,1000000,rider/yakob-debesay,"(38.9326763, 15.3389667)"
William Bonnet,1982-06-25,80.0,1.85,Saint-Doulchard,1014,469,448,1383,293,1809,1000000,1000000,rider/william-bonnet,"(2.359048438705784, 47.1116633)"
Delio Fernández,1986-02-17,69.0,1.78,Moaña,184,919,148,509,548,1192,2208,1000000,rider/delio-fernandez,"(-8.7356868, 42.2816553)"
Alberto Gallego,1990-11-25,62.0,1.77,Don Benito,20,106,2,22,52,1000000,1000000,1000000,rider/alberto-gallego,"(-5.8619466, 38.9540269)"
Magnus Cort,1993-01-16,68.0,1.83,Bornholm,895,789,507,1964,1398,74,140,714,rider/magnus-cort-nielsen,"(14.922572806434074, 55.1432481)"
Rafał Majka,1989-09-12,62.0,1.73,Zegartowice,1115,4784,864,107,6396,127,177,427,rider/rafal-majka,"(18.5233599, 53.2440545)"
